iter	Passed	Remaining
947	3989	218
948	3991	214
949	3992	210
950	3994	205
951	3996	201
952	4000	197
953	4002	192
954	4003	188
955	4005	184
956	4006	180
957	4008	175
958	4009	171
959	4011	167
960	4013	162
961	4016	158
962	4018	154
963	4020	150
964	4022	145
965	4023	141
966	4025	137
967	4027	133
968	4029	128
969	4031	124
970	4033	120
971	4034	116
972	4036	112
973	4038	107
974	4039	103
975	4043	99
976	4044	95
977	4046	91
978	4048	86
979	4049	82
980	4051	78
981	4052	74
982	4054	70
983	4056	65
984	4059	61
985	4061	57
986	4063	53
987	4065	49
988	4067	45
989	4069	41
990	4073	36
991	4075	32
992	4077	28
993	4079	24
994	4081	20
995	4082	16
996	4086	12
997	4088	8
998	4090	4
999	4092	0
